ow,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,R5C1,25:02.0,25:24.0,26:27.0,26:27.0,58,,58,0,1,3,1,Entering a given,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,R6C1,26:27.0,26:35.0,26:35.0,26:35.0,8,8,,1,0,0,1,Entering a given,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,525+0.21X = 585+0.13X,26:52.0,26:57.0,26:57.0,26:57.0,5,5,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,0.21X = 60+0.13X,26:57.0,27:03.0,27:03.0,27:03.0,6,6,,1,0,0,1,[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}],8
1143,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,0.08X = 60,27:03.0,27:08.0,27:08.0,27:08.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],17~~24,,,,,,,,,,,,,,,,,,,
1144,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,R7C1,27:08.0,27:11.0,27:11.0,27:11.0,3,3,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,xMax,27:11.0,27:26.0,27:35.0,27:35.0,24,,24,0,1,0,2,Changing axis bounds,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,xScale,27:35.0,27:38.0,27:38.0,27:38.0,3,3,,1,0,0,1,Changing axis intervals,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,yMax,27:38.0,28:12.0,28:12.0,28:12.0,34,34,,1,0,0,1,Changing axis bounds,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,yScale,28:12.0,28:17.0,28:17.0,28:17.0,5,5,,1,0,0,1,Changing axis intervals,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,Intersection 1 X,28:17.0,29:01.0,29:01.0,29:01.0,44,44,,1,0,0,1,Labelling point of intersection,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,2oNLCndtam,Unit CTA1_12, Section CTA1_12-3,SYS02,2,Intersection 1 Y,29:01.0,29:06.0,29:06.0,29:06.0,5,5,,1,0,0,1,Labelling point of intersection,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R1C1,29:14.0,29:35.0,29:35.0,29:35.0,21,21,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R1C2,29:35.0,29:51.0,29:51.0,29:51.0,16,16,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R2C2,29:51.0,29:53.0,29:53.0,29:53.0,2,2,,1,0,0,1,Identifying units,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R1C3,29:53.0,29:57.0,29:57.0,29:57.0,4,4,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R2C3,29:57.0,29:58.0,29:58.0,29:58.0,1,1,,1,0,0,1,Identifying units,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R2C1,29:58.0,30:08.0,30:12.0,30:12.0,14,,14,0,1,0,1,Identifying units,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R3C1,30:12.0,30:14.0,30:14.0,30:14.0,2,2,,1,0,0,1,Define Variable,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R3C2,30:14.0,31:13.0,31:51.0,31:51.0,97,,97,0,1,5,1,Using simple numbers~~Using large numbers~~Write expression, negative slope,21~~15~~4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R3C3,31:51.0,32:10.0,33:04.0,33:04.0,73,,73,0,3,5,1,Using simple numbers~~Using small numbers~~Write expression, positive slope,22~~23~~14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,YLabel,33:04.0,33:09.0,33:15.0,33:15.0,11,,11,0,1,0,1,Labelling the axes,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,XLabel,33:15.0,33:16.0,34:02.0,34:02.0,47,,47,0,1,0,1,Labelling the axes,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R4C2,34:41.0,34:46.0,,34:46.0,5,,5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R4C3,34:46.0,34:48.0,34:48.0,34:48.0,2,2,,1,0,0,1,Entering a given,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,ValidEquations,34:48.0,35:03.0,35:03.0,38:12.0,66,66,,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,-185+35X = 0,35:04.0,35:17.0,35:17.0,35:17.0,13,13,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],16~~3,,,,,,,,,,,,,,,,
1166,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,35X = 185,35:17.0,35:22.0,35:22.0,35:22.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],18~~25,,,,,,,,,,,,,,,,,,,
1167,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R4C1,34:02.0,34:29.0,35:25.0,35:25.0,42,,42,0,1,4,1,Using simple numbers~~Using small numbers~~Find X, positive slope,23~~24~~8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,-185+35X = 750-50X,35:54.0,36:00.0,36:00.0,36:00.0,6,6,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,35X = 935-50X,36:00.0,36:06.0,36:06.0,36:06.0,6,6,,1,0,0,1,[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}],9
1170,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,85X = 935,36:06.0,36:11.0,36:11.0,36:11.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],19~~26,,,,,,,,,,,,,,,,,,,
1171,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R5C1,36:20.0,36:22.0,36:22.0,36:22.0,2,2,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R6C3,37:44.0,37:49.0,,37:49.0,5,,5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R6C2,37:49.0,37:51.0,37:51.0,37:51.0,2,2,,1,0,0,1,Entering a given,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,750-50X = 0,38:12.0,38:15.0,38:22.0,38:22.0,10,,10,0,1,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],17,,,,,,,,,,,,,,,,,,
1175,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,-50X = -750,38:22.0,38:26.0,38:26.0,38:26.0,4,4,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],27~~7,,,,,,,,,,,,,,,,,,,
1176,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R6C1,36:15.0,36:20.0,38:28.0,38:28.0,89,,89,0,3,5,1,Using simple numbers~~Using large numbers~~Find X, negative slope,24~~16~~4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,R7C1,36:11.0,36:15.0,38:42.0,38:42.0,18,,18,0,1,0,1,Entering a given,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,xMax,38:42.0,39:09.0,39:09.0,39:09.0,27,27,,1,0,0,1,Changing axis bounds,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,yMax,39:09.0,39:21.0,39:21.0,39:21.0,12,12,,1,0,0,1,Changing axis bounds,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,xScale,39:21.0,39:23.0,39:23.0,39:29.0,8,8,,1,0,0,2,Changing axis intervals,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,yScale,39:29.0,39:31.0,39:31.0,39:31.0,2,2,,1,0,0,1,Changing axis intervals,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,Intersection 1 X,39:31.0,39:39.0,39:46.0,39:46.0,15,,15,0,2,0,1,Labelling point of intersection,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB04,1,Intersection 1 Y,39:46.0,39:52.0,39:52.0,39:52.0,6,6,,1,0,0,1,Labelling point of intersection,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB23,1,R1C1,39:58.0,40:19.0,40:19.0,40:19.0,21,21,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB23,1,R2C1,40:19.0,40:24.0,40:24.0,40:24.0,5,5,,1,0,0,1,Identifying units,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB23,1,R1C2,40:24.0,40:35.0,40:35.0,40:35.0,11,11,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB23,1,R2C2,40:35.0,40:40.0,40:40.0,40:40.0,5,5,,1,0,0,1,Identifying units,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB23,1,R1C3,40:40.0,40:47.0,40:47.0,40:47.0,7,7,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,2oNLCndtam,Unit CTA1_12, Section CTA1_12-4,SYSFB23,1,R2C3,40:47.0,40:51.0,40:51.0,40:51.0,4,4,,1,0,0,1,Identifying units,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,2oNLCndtam,Unit ES_05, Section ES_05-1,EG5-FIXED,1,-4613 = -1144y-555,24:05.0,24:15.0,24:26.0,24:26.0,21,,21,0,1,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],26~~4,,,,,,,,,,,,,,,,
1389,2oNLCndtam,Unit ES_05, Section ES_05-1,EG5-FIXED,1,-4058 = -1144y,24:26.0,24:37.0,24:37.0,24:37.0,11,11,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],45~~14,,,,,,,,,,,,,,,,,,,
1390,2oNLCndtam,Unit ES_05, Section ES_05-1,EG43A,1,1991-294x = 9424,24:43.0,24:48.0,24:55.0,24:55.0,12,,12,0,1,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],27,,,,,,,,,,,,,,,,,,
1391,2oNLCndtam,Unit ES_05, Section ES_05-1,EG43A,1,-294x = 7433,24:55.0,25:02.0,25:02.0,25:02.0,7,7,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],46~~15,,,,,,,,,,,,,,,,,,,
1392,2oNLCndtam,Unit ES_05, Section ES_05-1,EG42A,1,0.39 = 1.03x+6.99,25:06.0,25:19.0,25:19.0,25:19.0,13,13,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],28,,,,,,,,,,,,,,,,,,
1393,2oNLCndtam,Unit ES_05, Section ES_05-1,EG42A,1,-6.6 = 1.03x,25:19.0,25:24.0,25:24.0,25:24.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],31~~47,,,,,,,,,,,,,,,,,,,
1394,2oNLCndtam,Unit ES_05, Section ES_05-1,EG43,1,98x-75 = -57,25:29.0,25:32.0,25:32.0,25:32.0,3,3,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],29~~5,,,,,,,,,,,,,,,,
1395,2oNLCndtam,Unit ES_05, Section ES_05-1,EG43,1,98x = 18,25:32.0,25:36.0,25:36.0,25:36.0,4,4,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],32~~48,,,,,,,,,,,,,,,,,,,
1396,2oNLCndtam,Unit ES_05, Section ES_05-1,EG42B,1,2.51x+2.73 = 10.96,25:41.0,25:47.0,25:47.0,25:47.0,6,6,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],30,,,,,,,,,,,,,,,,,,
1397,2oNLCndtam,Unit ES_05, Section ES_05-1,EG42B,1,2.51x = 8.23,25:47.0,25:52.0,25:52.0,25:52.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],33~~49,,,,,,,,,,,,,,,,,,,
1398,2oNLCndtam,Unit ES_05, Section ES_05-2,EG43A,1,-4131 = 7927x+1119,25:57.0,26:10.0,26:10.0,26:10.0,13,13,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],31,,,,,,,,,,,,,,,,,,
1399,2oNLCndtam,Unit ES_05, Section ES_05-2,EG43A,1,-4131-1119 = 7927x+1119-1119,26:10.0,26:29.0,26:29.0,26:38.0,28,28,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],1,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,2oNLCndtam,Unit ES_05, Section ES_05-2,EG43A,1,-5250 = 7927x,26:38.0,26:44.0,26:44.0,26:44.0,6,6,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],34~~50,,,,,,,,,,,,,,,,,,,
1401,2oNLCndtam,Unit ES_05, Section ES_05-2,EG43A,1,-5250/7927 = 7927x/7927,26:44.0,27:02.0,27:02.0,27:06.0,22,22,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,2oNLCndtam,Unit ES_05, Section ES_05-2,EG42B,1,11.04 = 9.5-11.94x,27:10.0,27:14.0,27:20.0,27:20.0,10,,10,0,1,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],32,,,,,,,,,,,,,,,,,,
1403,2oNLCndtam,Unit ES_05, Section ES_05-2,EG42B,1,11.04-9.5 = 9.5-11.94x-9.5,27:20.0,27:30.0,27:30.0,27:39.0,19,19,,1,1,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],2,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,2oNLCndtam,Unit ES_05, Section ES_05-2,EG42B,1,1.54 = -11.94x,27:39.0,27:45.0,27:45.0,27:45.0,6,6,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],51~~16,,,,,,,,,,,,,,,,,,,
1405,2oNLCndtam,Unit ES_05, Section ES_05-2,EG42B,1,1.54/-11.94 = -11.94x/-11.94,27:45.0,28:04.0,28:39.0,28:42.0,57,,57,0,2,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,2oNLCndtam,Unit ES_05, Section ES_05-2,EG42A,1,9.92 = -4.11+13.25y,28:45.0,30:35.0,30:35.0,30:35.0,110,110,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],33~~6,,,,,,,,,,,,,,,,
